name,brand,model,year,vehicle_type,fuel_type,price,description
Pulsar 150,Bajaj,Pulsar 150,2022,two_wheeler,petrol,330000,Popular commuter bike in Nepal
Hero Splendor,Hero,Splendor 110,2021,two_wheeler,petrol,180000,Reliable everyday bike
Honda Activa,Honda,Activa 125,2023,two_wheeler,petrol,220000,Popular scooter in Kathmandu
Yamaha FZ,Yamaha,FZ-S FI,2022,two_wheeler,petrol,350000,Sporty bike for city rides
TVS Apache,TVS,Apache RTR 160,2021,two_wheeler,petrol,320000,Sporty and affordable bike
Suzuki Gixxer,Suzuki,Gixxer SF 150,2022,two_wheeler,petrol,340000,Lightweight sporty bike
Mahindra Bolero,Mahindra,Bolero,2020,car,diesel,3200000,Durable SUV/Jeep for family
Hyundai Creta,Hyundai,Creta,2023,suv,petrol,5200000,Compact SUV with modern features
Toyota Hilux,Toyota,Hilux,2022,truck,diesel,12000000,Reliable truck for goods transport
Suzuki Alto,Suzuki,Alto 800,2021,car,petrol,1800000,Affordable small city car
KTM Duke,KTM,Duke 200,2023,two_wheeler,petrol,650000,Sporty naked bike
Bajaj Dominar,Bajaj,Dominar 400,2022,two_wheeler,petrol,750000,Powerful long-ride bike
Honda CB Shine,Honda,CB Shine,2021,two_wheeler,petrol,200000,City commuter bike
Hero Xpulse,Hero,Xpulse 200,2022,two_wheeler,petrol,360000,Adventure touring bike
Yamaha Ray,Z,Yamaha Ray Z 125,2021,two_wheeler,petrol,195000,Lightweight scooter
Toyota Fortuner,Toyota,Fortuner,2023,suv,diesel,11000000,Popular SUV in Nepal
Honda City,Honda,City 2022,car,petrol,5000000,Mid-size sedan
Suzuki Swift,Suzuki,Swift 2022,car,petrol,4000000,Hatchback for city driving
Hyundai Tucson,Hyundai,Tucson 2022,suv,petrol,6500000,Compact SUV
Isuzu D-Max,Isuzu,D-Max,2021,truck,diesel,12500000,Reliable pick-up truck
Mahindra XUV500,Mahindra,XUV500,2022,suv,petrol,9000000,Family SUV
Honda Dio,Honda,Dio,2023,two_wheeler,petrol,190000,Popular scooter
Bajaj Platina,Bajaj,Platina 100,2021,two_wheeler,petrol,150000,Economical commuter bike
Hero Karizma,Hero,Karizma ZMR,2020,two_wheeler,petrol,450000,Sport tourer
Suzuki Access,Suzuki,Access 125,2022,two_wheeler,petrol,210000,Popular scooter
TVS Jupiter,TVS,Jupiter,2021,two_wheeler,petrol,185000,City-friendly scooter
Toyota Corolla,Toyota,Corolla 2022,car,petrol,5500000,Popular sedan in Nepal
Hyundai Santro,Hyundai,Santro 2021,car,petrol,1700000,Compact city car
KTM RC 200,KTM,RC 200,2023,two_wheeler,petrol,700000,Sport racing bike
Honda CB Hornet,Honda,CB Hornet 160R,2022,two_wheeler,petrol,310000,Naked bike for city
